Person,FuD-ID,Feld,VIAF-Nummer
"Argout, comte d'",5778,viaf,http://viaf.org/viaf/55699981
"Ariosto, Ludovico, gen. Ariost",2815,viaf,http://viaf.org/viaf/71386455
Aristippos von Kyrene,2670,viaf,http://viaf.org/viaf/5724469
Aristophanes,2563,viaf,http://viaf.org/viaf/20962036
Aristoteles,2992,viaf,http://viaf.org/viaf/7524651
"Arlincourt, Charles-Victor Prévost, vicomte d'",4556,viaf,http://viaf.org/viaf/41896578
Armand (Dramatiker),5660,viaf,
Armand-Aubrée (Verleger),4736,viaf,http://viaf.org/viaf/74152984
"Armfield, Sensitive",6336,viaf,
"Arnaud (Arnault?), Monsieur",4143,viaf,
"Arnault, Antoine Vincent",2622,viaf,http://viaf.org/viaf/5029448
"Arnault, Lucien",3200,viaf,http://viaf.org/viaf/15033775
"Arnault, Monsieur",3897,viaf,
"Arnim, Graf von",4865,viaf,
"Arnim, Rittmeister von",5630,viaf,
"Arnim-Boitzenburg, Adolf Heinrich von",2848,viaf,http://viaf.org/viaf/20429572
"Arnim-Boitzenburg, Anna Caroline von, geb. von der Schulenburg",2850,viaf,http://viaf.org/viaf/305423349
Arschot (Siehe Aarschot),3452,viaf,
"Artaud, Madame",5516,viaf,
"Arthenay, Monsieur d'",5501,viaf,
"Arthus-Bertrand, Claude",4457,viaf,http://viaf.org/viaf/19731914
"Artigaux, Bertrand, comte d'",5166,viaf,
"Artois, comte d' (Siehe Angoulême, Berry, Chambord oder Charles X)",6651,viaf,http://viaf.org/viaf/47194544
"Asbeck, Madame",5853,viaf,
"Asfeld, L. C. d'",2580,viaf,
"Asfeld, Monsieur d'",3590,viaf,
Asklepios,3138,viaf,http://viaf.org/viaf/64798430
"Astoud, Madame, geb. Jaillot",6109,viaf,
"Astoud, Monsieur (Vertrauensperson des Pugnet)",6097,viaf,
AthénéeXX,3553,viaf,
"Aubard / Aubart, Monsieur",4828,viaf,
"Aubenas, Monsieur",5011,viaf,
"Auber, Daniel-François-Esprit",3154,viaf,http://viaf.org/viaf/7573044
"Aubriet, Claude",6567,viaf,http://viaf.org/viaf/39494028
"Aubry-Lecomte, Hyacinthe",3269,viaf,http://viaf.org/viaf/24872742
"Audiffret, Florimond Louis, comte d'",3931,viaf,http://viaf.org/viaf/1787159234462903371746
"Audiffret, Madame d'",3765,viaf,
"Audiffret, Mademoiselle d'",4270,viaf,
"Audoi, Monsieur",3687,viaf,
"Audouard, Monsieur",4478,viaf,
"Audouin de Géronval, Maurice",2099,viaf,http://viaf.org/viaf/19711604
"Audrand [de l'Allier], Monsieur",6200,viaf,
"Auger, Louis Simon",4395,viaf,http://viaf.org/viaf/66573842
"Auger, Madame (Ehefrau des Louis Simon)",5913,viaf,
"Auguis, Pierre-René",2195,viaf,http://viaf.org/viaf/75437263
"Augusta von Sachsen-Weimar-Eisenach, Prinzessin von Preußen, später Kaiserin von Deutschland",3110,viaf,http://viaf.org/viaf/70896327
"Auguste, S.C.",5612,viaf,http://viaf.org/viaf/18013086
"Aurora, Tante (= Kopp?)",4523,viaf,
"Auvity, Monsieur (Arzt?)",5832,viaf,
"Aycard, Monsieur Marie",5550,viaf,http://viaf.org/viaf/144255
"Ayzac, Félicie Marie Émilie d'",2216,viaf,http://viaf.org/viaf/100262436
"Azaïs, Hyacinthe",2753,viaf,http://viaf.org/viaf/64013632
"Azevedo (?), Madame",5252,viaf,
"Babaut, Monsieur",4477,viaf,
"Babbage, Charles",6415,viaf,http://viaf.org/viaf/4963723
"Babinet, Jacques",6470,viaf,http://viaf.org/viaf/64262706
"Babois, Marguerite Victoire",2211,viaf,http://viaf.org/viaf/298859569
"Bachaumont, Louis Petit de",3274,viaf,http://viaf.org/viaf/29558790
"Bache, [Alexander Dallas] (amerikanischer Wissenschaftler)",6219,viaf,http://viaf.org/viaf/47067754
"Bache, Monsieur (Bruder von Rose Vien)",5366,viaf,
"Backmann, Monsieur",6048,viaf,
