Person,FuD-ID,Feld,VIAF-Nummer
"Darmès, Marius",6558,viaf,http://viaf.org/viaf/305871593
"Daru, Mademoiselle",4820,viaf,
"Daru, Pierre",1926,viaf,http://viaf.org/viaf/34544777
"Daumier, Jean-Baptiste",2551,viaf,http://viaf.org/viaf/122139083
"Daunou, Pierre",1927,viaf,http://viaf.org/viaf/64115516
"Dauriat, Louise",1928,viaf,http://viaf.org/viaf/3373152637813020220006
"Davaux, Monsieur",6128,viaf,
"Davenières, Monsieur",5470,viaf,
"David d'Angers, eigentl. Pierre Jean David",2271,viaf,http://viaf.org/viaf/69026614
"David, Charles, baron (Sohn des Jacques-Louis)",6367,viaf,
"David, Ehepaar",5188,viaf,
"David, Emilie",2087,viaf,http://viaf.org/viaf/313569007
"David, Familie",2783,viaf,
"David, Henri",4688,viaf,
"David, Jacques-Louis",2767,viaf,http://viaf.org/viaf/66575297
"David, Jules",2736,viaf,http://viaf.org/viaf/59140067
"David, König von Israel und Juda",3146,viaf,http://viaf.org/viaf/227728357
"David, Madame",2427,viaf,
"David, Monsieur",3372,viaf,
"David, Pierre Jean (Siehe David d'Angers)",2269,viaf,http://viaf.org/viaf/69026614
"Davray, Monsieur (Bekannter des Asfeld)",5992,viaf,
"De Bruyne (?), Monsieur",6106,viaf,
de L. Duchesse de Luxembourg,6670,viaf,
de Lapeyrouse de Vilestiau,6673,viaf,
"De Mat, P.J. (Verleger in Brüssel)",4318,viaf,http://viaf.org/viaf/64184372
"de Mirecourt, Eugène, eigentl. Charles Jean-Baptiste Jacquot",6672,viaf,http://viaf.org/viaf/290683384
"Debeauvoir, Rémi",3532,viaf,
"Debelle, César Alexandre",2874,viaf,http://viaf.org/viaf/51809734
"Decazes, Élie Louis, duc",2573,viaf,http://viaf.org/viaf/1804152636066820050111
"Degen, Jakob",3174,viaf,http://viaf.org/viaf/30347295
Degérando (Siehe Gérando),3478,viaf,http://viaf.org/viaf/24699386
"Degotti, Ignazio",4990,viaf,http://viaf.org/viaf/29798449
"Dejean, baronne",6092,viaf,
"Dejean, comtesse",6093,viaf,
"Delacour, Monsieur",5405,viaf,
"Delacroix, Eugène",6386,viaf,http://viaf.org/viaf/7389086
Delamardelle (Siehe Lamardelle),6633,viaf,http://viaf.org/viaf/224152636181920052534
"Delambre, Jean-Baptiste Joseph",4141,viaf,http://viaf.org/viaf/66494985
"Delannoy / Delanoie, Madame",3704,viaf,
"Delaroche, Paul",3827,viaf,http://viaf.org/viaf/100180689
"Delaunay, Simon-César (Buchhändler und Verleger)",4338,viaf,http://viaf.org/viaf/10009285
"Delavigne, Casimir",4995,viaf,http://viaf.org/viaf/7409673
"Delbruck, Monsieur",3778,viaf,
"Delcroix, Fidèle",5529,viaf,http://viaf.org/viaf/49966594
"Deldir, Alina, auch D'Eldir",3368,viaf,http://viaf.org/viaf/68919831
"Delessert, Benjamin",3381,viaf,http://viaf.org/viaf/61576526
"Delessin (?), Monsieur",5350,viaf,
"Delestre-Poirson, Charles-Gaspard",2089,viaf,http://viaf.org/viaf/14768556
"Delille, Jacques, gen. abbé Delille",1930,viaf,http://viaf.org/viaf/59081234
"Dellbruck, Jules",6070,viaf,http://viaf.org/viaf/70945726
"Delloye, H.-L. (Verleger)",4696,viaf,http://viaf.org/viaf/49494781
"Delpech, Madame François-Séraphin (Witwe des Lithographs)",6551,viaf,
"Delrieu, Étienne-Joseph-Bernard",1931,viaf,http://viaf.org/viaf/17233053
"Delvas, Monsieur (Tierarzt)",5740,viaf,
"Demoncy, Monsieur",6014,viaf,
"Démonts, Monsieur (Jurist)",5194,viaf,
"Demoustier, Charles-Albert",3608,viaf,http://viaf.org/viaf/38011631
"Denis, Ferdinand",2088,viaf,http://viaf.org/viaf/76314411
"Denon, Dominique Vivant, baron",2076,viaf,http://viaf.org/viaf/64021324
"Dentu, Jean-Gabriel",3882,viaf,http://viaf.org/viaf/129413
"Depping, Georges-Bernard",2104,viaf,http://viaf.org/viaf/46759873
"Depping, Madame",3769,viaf,
"Derbene, Madame",3965,viaf,
"Déroux, Monsieur",5963,viaf,
"Des Entelles, Monsieur",5073,viaf,
"Des Essarts, Monsieur",5719,viaf,
"Des Michels, Monsieur (Historiker, Lycée Henri IV)",5208,viaf,
"Desain, Monsieur",5781,viaf,
"Desaix, Louis Charles Antoine",6560,viaf,http://viaf.org/viaf/64144428
"Desanges, Monsieur",5037,viaf,
"Désarnaud, Monsieur",4251,viaf,
Désarnaud; Madame (Vermieterin der CdS 1824?),5883,viaf,
Desaudrais (Siehe Gaullard de Saudray),4988,viaf,http://viaf.org/viaf/41872593
"Désaugiers, Auguste-Félix",2683,viaf,http://viaf.org/viaf/274624
"Désaugiers, Marc-Antoine",2564,viaf,http://viaf.org/viaf/59348386
"Désaugiers, Marc-Antoine-Madeleine (Sohn des Marc-Antoine)",6603,viaf,http://viaf.org/viaf/2565306
"Desauneaux, Tiphaine (Notar)",3542,viaf,
"Desbordes, Monsieur",4195,viaf,
"Desbordes-Valmore, Marceline",4138,viaf,http://viaf.org/viaf/19676650
"Desbranches, Monsieur",6083,viaf,
"Descartes, Catherine",2346,viaf,http://viaf.org/viaf/1496147312815937970006
"Descartes, René",2833,viaf,http://viaf.org/viaf/41838958
"Deschamps, Emile oder Anthony (?), eigentlich Deschamps de Saint-Amand",6158,viaf,http://viaf.org/viaf/61605328
"Descharmes, Monsieur",5075,viaf,
"Deschênes, Monsieur",6242,viaf,
"Desfontaines, Mademoiselle",3855,viaf,
"Desfontaines, Monsieur",4985,viaf,
"Desfontaines, Pierre François Guyot, abbé",3147,viaf,http://viaf.org/viaf/44293738
"Desfontaines, René Louiche",1932,viaf,http://viaf.org/viaf/41931980
"Desgranges, Monsieur",5720,viaf,
"Deshayes, Monsieur",2220,viaf,
"Deshoulières, Antoinette",3077,viaf,http://viaf.org/viaf/41946229
"Desideria Bernadotte, Königin von Schweden und Norwegen, geb. Clary, Bernardine Eugénie Désirée",2494,viaf,http://viaf.org/viaf/47555301
"Desilley, Monsieur",3917,viaf,
"Desonceaux, Madame",5779,viaf,
"Desoria, Jean-Baptiste François",2086,viaf,http://viaf.org/viaf/56880139
"Désormery, Évelyne",2738,viaf,http://viaf.org/viaf/306145987
"Despage, Monsieur",5643,viaf,
"Despagny (d'Espagny?), Monsieur",3744,viaf,
"Despéroux (?), Monsieur (Dichter)",3728,viaf,
"Desperrichons (?), Monsieur",6110,viaf,
"Despilly, Monsieur",6024,viaf,
"Desplechin, Madame (Journalistin)",5288,viaf,
"Desportes, Félix",6352,viaf,http://viaf.org/viaf/14915933
"Despréaux, Jean-Étienne",1933,viaf,http://viaf.org/viaf/2460083
"Despréaux, Madeleine",3258,viaf,http://viaf.org/viaf/7656481
"Desroches, L.B., geb. Lalande",1934,viaf,
Detournay (Siehe Tournay),6609,viaf,
"Devenet (?), Monsieur",6113,viaf,
"Devise, Mademoiselle de",6079,viaf,
"Devise, Monsieur de (Cousin der CdS)",3628,viaf,
"Devisme, Monsieur",6114,viaf,
Dezèse (Siehe Sèze),4726,viaf,
"Dibetz / Diebetz, General",2483,viaf,
"Didelot, Charles-Louis",2552,viaf,http://viaf.org/viaf/32426917
"Diderot, Denis",2652,viaf,http://viaf.org/viaf/54146831
"Didot, Firmin",1935,viaf,http://viaf.org/viaf/54239780
"Didot, Jules",3666,viaf,
"Didot, Madame",3692,viaf,
"Didot, Monsieur",4100,viaf,
"Didot, Pierre",2663,viaf,http://viaf.org/viaf/85705320
"Dienne, comte de",4201,viaf,
"Diesbach, Louis Alexandre Ladislas de",6572,viaf,http://viaf.org/viaf/309598680
"Dino, Dorothea von Biron, Herzogin von Sagan, Herzogin von",2696,viaf,http://viaf.org/viaf/32131555
"Döhnhoff, August Heinrich Hermann von",3125,viaf,http://viaf.org/viaf/72137728
"Doin, Sophie",5392,viaf,http://viaf.org/viaf/64157033
"Doligny, Mademoiselle",5303,viaf,
"Dolomieu, marquise de",4369,viaf,
"Dombasle, Mathieu de",6519,viaf,
"Donnadieu, général vicomte Gabriel",3949,viaf,http://viaf.org/viaf/45176580
"Donon-Cadot, Edouard",2648,viaf,
"Doré, Monsieur",6060,viaf,
"Dorschel, Herr (Arzt)",3711,viaf,
"Dorschell, Frau (Ehefrau des gleichnamigen Aachener Arztes)",5078,viaf,
"Dorth, Frau von",4442,viaf,
"Dorth, Major von",5126,viaf,
"Dorval, Madame",4255,viaf,
"Doucet, General",5123,viaf,
"Doucet, Monsieur",4725,viaf,
"Douin, Ehepaar",5884,viaf,
"Dournel de Bonnival, Monsieur",2704,viaf,
"Douvuel, Madame",4773,viaf,
"Douvuel, Monsieur",4775,viaf,
"Doypot, Monsieur",6044,viaf,
"Doze, Mademoiselle (Schauspielerin)",5801,viaf,
"Drais, Françoise (Tochter von Pierre Drais)",5531,viaf,
"Drais, Pierre (Vertrauensmann der CdS)",2240,viaf,http://viaf.org/viaf/24156073846353862446
"Droste zu Senden, Herr",5070,viaf,
"Droste zu Vischering, Clemens August, Freiherr von",2866,viaf,http://viaf.org/viaf/7382261
"Drouet, Monsieur",4090,viaf,
"Drouin, Monsieur (Notar in Coucy)",5905,viaf,
"Drouineau, Monsieur",4473,viaf,http://viaf.org/viaf/79115162
"Droz, Joseph",3839,viaf,http://viaf.org/viaf/89654483
Dschinghis Khan,6171,viaf,http://viaf.org/viaf/230227481
"Du Bellay, Joachim",2542,viaf,http://viaf.org/viaf/39447168
"Du Bocage, Anne-Marie",5707,viaf,http://viaf.org/viaf/14769084
"Du Château, Monsieur",5254,viaf,
"Du Châtelet, Gabrielle-Émilie Le Tonnelier de Breteuil, marquise",2796,viaf,http://viaf.org/viaf/76345646
"Du Deffand, Marie de Vichy-Chamrond, marquise",4749,viaf,http://viaf.org/viaf/41901817
"Du Fresny / Dufresny, Charles",2555,viaf,http://viaf.org/viaf/87526688
"Du Marsais / Dumarsais, César Chesneau",3411,viaf,http://viaf.org/viaf/46760279
"Du Potet, Jules Dupotet de Sennevoy, genannt Baron",6320,viaf,http://viaf.org/viaf/46879964
"Duault, François-Marie-Guillaume",1936,viaf,http://viaf.org/viaf/51802683
"Dubarry, Madame (Siehe Barry)",6649,viaf,http://viaf.org/viaf/36927917
"Dubois, Guillaume",2907,viaf,http://viaf.org/viaf/32094410
"Dubois, Monsieur (Arzt in Paris)",5305,viaf,
"Dubos, Constant",2710,viaf,http://viaf.org/viaf/193444257
"Duchambge, Pauline, eigentl. Antoinette Pauline de Montet-Duchambge",4360,viaf,http://viaf.org/viaf/34719623
"Duchâtel, Monsieur",6123,viaf,
"Duchesne, Monsieur",6333,viaf,
"Duchesnois, Catherine-Joséphine, geb. Rafin, gen. Mademoiselle",1937,viaf,http://viaf.org/viaf/88531814
"Duchosal, Marie-Émile-Guillaume",1938,viaf,http://viaf.org/viaf/29641872
"Ducis, Jean-François",1939,viaf,http://viaf.org/viaf/36917487
"Ducis, Madame",3997,viaf,
"Ducis, Monsieur",5007,viaf,
"Duclerc, Monsieur",4102,viaf,http://viaf.org/viaf/88060644
"Ducos, Monsieur (Freund des Sauvo)",6059,viaf,
"Ducret de Villeneuve, Madame (geb. Adélaïde Thévenard?)",4111,viaf,
"Dufau, Pierre Armand",6435,viaf,
"Dufour de Saint Pathus, Julien-Michel",3547,viaf,http://viaf.org/viaf/37012349
"Dufour, Monsieur (Jurist)",4824,viaf,
"Dufrénoy, Monsieur",4746,viaf,
"Dufresne, Abel",2583,viaf,http://viaf.org/viaf/69658706
"Dufresnoy, Adélaïde-Gillette, geb. Billet",3064,viaf,http://viaf.org/viaf/17491388
"Dugas, Victor",6563,viaf,
"Dugazon, Henry",4158,viaf,http://viaf.org/viaf/51955588
"Dugier, Monsieur",4716,viaf,
"Duhault / Duault, Monsieur",3650,viaf,
"Dulac, comte",4390,viaf,
"Dulaure, Jacques-Antoine",5092,viaf,
"Dumas, Alexandre",2197,viaf,http://viaf.org/viaf/51688902
"Dumas, Jean-Baptiste (von der Académie in Lyon?)",2149,viaf,https://viaf.org/viaf/2594008
"Dumas, Monsieur",3768,viaf,
"Dumas, Monsieur (Strassenbauingenieur aus dem Dep. Sarthe)",6357,viaf,
"Dumas, Thomas Alexandre",3370,viaf,http://viaf.org/viaf/22953927
"Dumast, Monsieur de",3834,viaf,
"Dumesnil, Alexis",6382,viaf,http://viaf.org/viaf/44432384
"Dumon, Pierre Sylvain",4780,viaf,http://viaf.org/viaf/32743466
"Dumont d’Urville, Jules Sébastien César",6469,viaf,http://viaf.org/viaf/54157770
"Dumont, François",6581,viaf,http://viaf.org/viaf/10112665
"Dumont, Pierre-Joseph",4276,viaf,http://viaf.org/viaf/116267531
"Dumoutier, P.M.A.",6468,viaf,http://viaf.org/viaf/186807991
"Dunaime, Em.[manuel?]",5496,viaf,
"Dupaty, Charles Jean Baptiste Mercier",2758,viaf,http://viaf.org/viaf/19728250
"Dupaty, Emmanuel Mercier",2757,viaf,http://viaf.org/viaf/14769256
"Dupaty, Madame",3837,viaf,
"Dupaty, Monsieur",4507,viaf,
"Dupé, Dr.",5943,viaf,
"Dupetit-Thouars, [Louis-Marie Aubert?]",3842,viaf,http://viaf.org/viaf/315256298
"Dupetit-Thouars, Admiral Abel Aubert du Petit-Thouars, gen.",6540,viaf,http://viaf.org/viaf/42142942
"Dupin, André",5262,viaf,http://viaf.org/viaf/8460276
"Dupin, Charles",4250,viaf,http://viaf.org/viaf/66507859
"Dupin, Madame",3665,viaf,
"Dupin, Monsieur",3755,viaf,
"Dupin, Philippe",6364,viaf,
"Duplessis-Mornay, Philippe, eigentl. Philippe de Mornay, seigneur du Plessis-Marly",3163,viaf,http://viaf.org/viaf/95235826
"Dupont de l'Étang, Pierre Antoine, comte",2498,viaf,http://viaf.org/viaf/9220051
"Dupont de Nemours, Pierre Samuel",2302,viaf,http://viaf.org/viaf/95229508
"Dupont, Ambroise et Cie (Verleger)",6162,viaf,http://viaf.org/viaf/2372150647102710860005
"Dupont, comtesse de",5440,viaf,
"Dupont, Madame",3863,viaf,
"Duport, Louis-Antoine",6632,viaf,http://viaf.org/viaf/106998841
"Duportail, Monsieur",6001,viaf,
"Duprat ou Murat?, Caroline",6674,viaf,
"Duprez, Gilbert",6250,viaf,http://viaf.org/viaf/22409106
"Dupuis, Charles-François",1941,viaf,http://viaf.org/viaf/12404693
"Dupuy, Monsieur",4405,viaf,
"Dupuytren, Guillaume, baron",6118,viaf,http://viaf.org/viaf/34555314
"Duquelin, Madame",5192,viaf,
"Durand, Sophie",2950,viaf,http://viaf.org/viaf/15672194
"Duras, Claire de (Siehe Lechal de Kersaint)",3473,viaf,http://viaf.org/viaf/207247138
"Durham, Lord",3746,viaf,
"Duroc, Gérard Christophe Michel",3161,viaf,http://viaf.org/viaf/29768210
"Duronceray, Pierre Laigneau",6588,viaf,http://viaf.org/viaf/2808447
"Durselen, Herr",5065,viaf,
"Durusnel, Madame de",5769,viaf,
"Dusausoir, Jean-François",1942,viaf,http://viaf.org/viaf/37662259
"Dussault, Jean Joseph",4550,viaf,http://viaf.org/viaf/19687461
"Duterte, comte (de?)",4220,viaf,
"Dutremblay, Antoine-Pierre",1943,viaf,http://viaf.org/viaf/59181947
"Dutrône, Monsieur",3571,viaf,
Duval (Siehe auch Pineux),5374,viaf,http://viaf.org/viaf/100176929
"Duval, Alexandre, eigentl. Alexandre-Vincent Pineux",1944,viaf,http://viaf.org/viaf/100176929
"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux",1945,viaf,http://viaf.org/viaf/59072566
"Duval, Amouroux, Sohn von (Maler)",5790,viaf,
"Duval, Eugène Emmanuel Amaury (Sohn des Amaury Duval, Maler)**",3613,viaf,http://viaf.org/viaf/29574093
"Duval, Georges-Louis-Jacques",2578,viaf,http://viaf.org/viaf/9712151778244718130003
"Duval, Henri",5600,viaf,http://viaf.org/viaf/219445287
"Duval, Madame",4579,viaf,
"Duval, Madame (Ehefrau des Henri)",3616,viaf,
"Duval, Madame (Ehefrau von Amaury Duval)",5289,viaf,
"Duval, Madame (Ehefrau von Henri Duval, Tochter von Houdon)",5601,viaf,
"Duval, Madame (Mutter von Amaury und Alexandre)",5525,viaf,
"Duval, Mademoiselle (Tochter Amaury Duvals)",5892,viaf,
"Duval, Mademoiselle, später Madame Guyet-Desfontaines (?) (Tochter des Amaury Duval)",6173,viaf,http://viaf.org/viaf/29574093
"Duval, Monsieur",3996,viaf,
"Duveaux, Henri",3999,viaf,
"Duvilliers, Monsieur (Arzt)",4055,viaf,
"Duvivier, Amédée (Sekretär)",6175,viaf,
"Duvivier, Bernard",2886,viaf,http://viaf.org/viaf/49498868
"Duvivier, Familie",4787,viaf,
"Duvivier, J.M.F. Auguste",6507,viaf,
"Dwernicki, Józef",3257,viaf,http://viaf.org/viaf/8290359
"Eberstein, Major",4583,viaf,
"Eckardt, Wilhelmine",3622,viaf,
"Eckstein, Ferdinand Baron",5476,viaf,http://viaf.org/viaf/49346558
Écouchard (Siehe Lebrun Pindare),3482,viaf,http://viaf.org/viaf/9857083
"Edgeworth, Maria",4069,viaf,http://viaf.org/viaf/71477273
"Edon, Monsieur (Notar)",4823,viaf,
"El Cid, eigentlich: Rodrigo Diaz de Vivar",5909,viaf,http://viaf.org/viaf/22938662
"Elder, Aline d'",5464,viaf,
"Elfes,Dr. (Arzt aus Neuss und ""Kreisphysicus"")",4559,viaf,
"Élie de Beaumont,  Léonce",2140,viaf,http://viaf.org/viaf/73970870
"Elisabeth Ludovika Königin von Preußen, geb. Prinzessin von Bayern",2730,viaf,http://viaf.org/viaf/15563745
"Elleviou, Jean",5276,viaf,http://viaf.org/viaf/76454031
"Émeriau de Beauverger, Maxime Julien",6081,viaf,http://viaf.org/viaf/300748448
"Émeric-David, Toussaint Bernard",2698,viaf,http://viaf.org/viaf/90633109
"Emler, François-Patrice-Frédéric (Buchhändler)",5028,viaf,
"Empis, Adolphe-Simonis",2924,viaf,http://viaf.org/viaf/17373402
"Emundts, Edmund",2862,viaf,http://viaf.org/viaf/57367688
"Emundts, Frau, geb. Springfelds",5139,viaf,
"Emundts, Herr (Bürgermeister von Aachen)",5579,viaf,
"Enghien, duc d' (Siehe Bourbon-Condé, Louis Antoine)",3459,viaf,http://viaf.org/viaf/24609898
"Épagny, Jean-Baptiste Violet d'",4455,viaf,http://viaf.org/viaf/39637321
"Épernon, Jean-Louis de Nogaret de La Valette, duc d'",2562,viaf,http://viaf.org/viaf/56742804
Épictète,2618,viaf,http://viaf.org/viaf/243791851
Epikur,3150,viaf,http://viaf.org/viaf/266715699
"Épinay, Louise Florence Pétronille, marquise Lalive d'",2860,viaf,http://viaf.org/viaf/51720337
"Érard, Mademoiselle (Musikerin und Verlegerin?)",4999,viaf,
"Erard, Monsieur",5965,viaf,
"Ernst August I., König von Hannover",3259,viaf,http://viaf.org/viaf/37707871
"Erval, Madame la baronne (Dupont d'?)",4971,viaf,
Erysichton,3148,viaf,http://viaf.org/viaf/35253404
"Escherny, François-Louis, comte d'",6376,viaf,http://viaf.org/viaf/10187153
"Escousse, Victor, eigentl. Victor Laserre",3730,viaf,http://viaf.org/viaf/66095555
"Eskuchen, K. (? Lithograph)",4948,viaf,
"Esménard, Joseph-Alphonse",2356,viaf,http://viaf.org/viaf/71390721
"Espartero, General Bardomero",6458,viaf,http://viaf.org/viaf/29767835
"Estancelin, Louis",6354,viaf,http://viaf.org/viaf/66648618
"Este, Augustus Frederick d'",2852,viaf,http://viaf.org/viaf/38088020
"Esterházy de Galantha, Maria Josepha Hermengilde, geb. von Liechtenstein",2178,viaf,http://viaf.org/viaf/27826281
"Esterhazy de Galantha, Nikolaus II. Fürst",2534,viaf,http://viaf.org/viaf/197879592
"Esterházy von Galantha, Maria Theresia, geb. von Thurn und Taxis",2182,viaf,http://viaf.org/viaf/207799072
"Esterházy von Galantha, Paul (Schwiegersohn der Therese von Thurn und Taxis)",5000,viaf,http://viaf.org/viaf/13120008
"Etevé, Monsieur",5946,viaf,
"Étienne de Jouy, Joseph Étienne, gen.",2281,viaf,http://viaf.org/viaf/41860068
"Etienne, Charles-Guillaume",3674,viaf,http://viaf.org/viaf/7389876
"Etiol(l)es, Madame (Leroy?) d'",5930,viaf,
"Eugène, Monsieur",5981,viaf,
"Eulriot, Monsieur (Erfinder)",6355,viaf,
"Evelt, Christian (Rechtsanwalt in Düsseldorf)",2530,viaf,http://viaf.org/viaf/54933372
"Evelt, Mademoiselle",5072,viaf,
"Evelt, Pater",5544,viaf,
Evelyn (Cousin der Mme Pougens),4975,viaf,
"Evret, Monsieur (Arzt?)",5569,viaf,
"Eynatten (?), Herr von",5671,viaf,
"Eyriès, Jean-Baptiste Benoît",3968,viaf,http://viaf.org/viaf/73853185
"Fabre, Auguste-Jean-Raymond",2813,viaf,http://viaf.org/viaf/27982813
"Fabre, Marie-Jacques-Joseph-Victorin",4752,viaf,http://viaf.org/viaf/15709616
"Fabrequette, Monsieur (frz. Konsul in Malta)",6282,viaf,
"Fabricius, Herr (von?)",6284,viaf,
"Fabry-Garat, Joseph Dominique",4501,viaf,http://viaf.org/viaf/2546944
"Fabvier, Charles Nicolas",5957,viaf,http://viaf.org/viaf/84033586
"Fagel, Henri, baron de",4499,viaf,http://viaf.org/viaf/25442503
"Fahne, Herr",5754,viaf,
"Fain, Agathon Jean François, baron",2210,viaf,http://viaf.org/viaf/41888810
"Faivre, Monsieur",3891,viaf,
"Falck, Monsieur (niederländischer Diplomat)",5043,viaf,
"Fallenstein, Georg Friedrich (?)",2599,viaf,http://viaf.org/viaf/69680720
"Falloux, Alfred de",6481,viaf,http://viaf.org/viaf/29640595
"Falvet, Dr.",6535,viaf,
"Fantin, Monsieur",4469,viaf,
"Fariau de Saint-Ange, Ange-François",3870,viaf,http://viaf.org/viaf/64131302
"Fauchat, Monsieur",3705,viaf,
"Faucher, Monsieur",6314,viaf,
"Faucheux, Monsieur (Anwalt der Erben Pipelet in Tours)",5175,viaf,
"Fauconpret, Auguste Jean Baptiste de",4505,viaf,http://viaf.org/viaf/51688227
"Faugeroux, Monsieur",5971,viaf,
"Faulcon de La Parisière, Marie-Félix",3906,viaf,http://viaf.org/viaf/5026185
"Faure, Madame",5934,viaf,
"Fauriel, Claude",4642,viaf,http://viaf.org/viaf/24601296
"Favre, Ferdinand",6490,viaf,http://viaf.org/viaf/29675989
"Fay, Léontine (Siehe Volnys)",3718,viaf,http://viaf.org/viaf/74113180
"Fayolle, François-Joseph-Marie",2222,viaf,http://viaf.org/viaf/66563478
"Febvé, Charles",3696,viaf,
"Fée, Antoine Laurent Appolinaire",2228,viaf,http://viaf.org/viaf/49249817
"Fée, Cécile",2225,viaf,http://viaf.org/viaf/1148159233907003370040
"Féletz, Charles-Marie de",6315,viaf,http://viaf.org/viaf/19817385
"Fellenberg, Philipp Emmanuel von",6374,viaf,http://viaf.org/viaf/806489
"Fellens, Jean-Baptiste",2131,viaf,http://viaf.org/viaf/99825093
"Feller, abbé de",4613,viaf,
"Feltre, Henri-Jacques Guillaume Clarke, duc de",5124,viaf,http://viaf.org/viaf/69094194
"Fénelon, François, eigentl. François de Salignac de La Mothe-Fénelon",2916,viaf,http://viaf.org/viaf/61539997
"Ferdinand I., Kaiser von Österreich",6283,viaf,http://viaf.org/viaf/27865600
"Ferdinand I., König beider Sizilien",3041,viaf,http://viaf.org/viaf/16073751
"Ferdinand II., König beider Sizilien",3341,viaf,http://viaf.org/viaf/45113476
"Ferdinand II., König von Portugal",6474,viaf,http://viaf.org/viaf/30336432
"Ferdinand VII., König von Spanien",2791,viaf,http://viaf.org/viaf/286447916
"Féré, Monsieur (""secrétaire particulier de Monsieur le comte Beugnot"")",6663,viaf,
"Féré, Octave",2624,viaf,http://viaf.org/viaf/10779139
"Féron, Éloi Firmin",6183,viaf,http://viaf.org/viaf/95718531
"Ferrari, Monsieur",3526,viaf,
"Ferraud, Monsieur",3707,viaf,
"Ferrée, Madame",5988,viaf,
"Ferry, Mr. (Sohn des Gouverneurs von Sierra Leone [Richard Doherty])",6218,viaf,
"Fesch, Joseph Kardinal",2631,viaf,http://viaf.org/viaf/92145857803723020209
"Feuillet, Laurent",3851,viaf,http://viaf.org/viaf/89782990
"Feuillot, Monsieur",5959,viaf,
"Feutrier, Jean-François-Hyacinthe",3438,viaf,http://viaf.org/viaf/305923256
"Fèvre, Monsieur",4509,viaf,
"Fieschi, Giuseppe",3321,viaf,http://viaf.org/viaf/37668800
"Fiess, Mathieu Georges Joseph",2656,viaf,http://viaf.org/viaf/345152636072620051580
"Fievée, Joseph",3295,viaf,http://viaf.org/viaf/12413966
"Fiévée, Monsieur (wahrscheinlich nicht Joseph)",4525,viaf,
"Finette (Siehe Théis, Joséphine de)",3475,viaf,
"Fink, Frau (Wohnungsvermieterin in Aachen)",5561,viaf,
"Fisenne, Frau von",4312,viaf,
"Fisenne, Ludwig von",2840,viaf,
"Fisenne, Sophie von",4313,viaf,
"Fitzherbert, Maria",3025,viaf,http://viaf.org/viaf/25406993
"Fitz-James, Edouard, duc de",3335,viaf,http://viaf.org/viaf/20026376
"Fizeaux, Madame, geb. Lézurier de La Martel",2919,viaf,
"Flavigny, Madame de",6116,viaf,
"Flavigny, Mademoiselle de",6082,viaf,
"Fleschener, Monsieur",5921,viaf,
"Fleury, André Arsène Joseph de Rosset, duc de",4226,viaf,
"Fleury, Madame",2490,viaf,
"Fleury, Monsieur",4204,viaf,
"Floh, Familie",5626,viaf,
"Floirac, Jacques-Étienne de La Grange-Gourdon, comte de",3423,viaf,http://viaf.org/viaf/215034736
"Florival, (?) Monsieur, auch ""de Normandie"" genannt (Dramaturg)",5129,viaf,
"Flotte, Étienne Gaston de",2237,viaf,http://viaf.org/viaf/49225452
"Flourens, Marie-Jean-Pierre",6286,viaf,http://viaf.org/viaf/14769755
Fogères (Siehe Mathon de Fogères),5678,viaf,
"Fonk, Peter Anton",5051,viaf,http://viaf.org/viaf/76708248
"Fontanes, (Jean-Pierre) Louis, marquis de",1950,viaf,http://viaf.org/viaf/54197836
"Fontanes, Louis-Marcelin de",4142,viaf,http://viaf.org/viaf/54197836
"Fontenai, Louis-Abel Bonafous, gen. l'abbé (de)",5487,viaf,http://viaf.org/viaf/29802048
"Forbes, Mademoiselle",4379,viaf,
"Forbin, Louis Nicolas Philippe Auguste de",2981,viaf,http://viaf.org/viaf/106969370
"Forbin-Janson, Charles, comte de",2450,viaf,http://viaf.org/viaf/72173502
"Forckenbeck, August von (preußischer Konsul in Dänemark)",4996,viaf,http://viaf.org/viaf/80420424
"Forestier, Monsieur",6038,viaf,http://viaf.org/viaf/315107697
"Forges de Parny, Évariste Désiré de, vicomte de",1951,viaf,
"Forster, Charles (auch Karol)",3417,viaf,http://viaf.org/viaf/100179312
"Forstmann, Monsieur",6057,viaf,
"Fortia de Piles, Alphonse-Toussaint-Joseph-André-Marie-Marseille de",2887,viaf,http://viaf.org/viaf/7491943
"Fortia d'Urban, Agricol-Joseph marquis de (vice-président du Lycée de Vaucluse)",3533,viaf,http://viaf.org/viaf/19714887
"Fortoul, Hippolyte",3083,viaf,http://viaf.org/viaf/64111595
"Fossé-Darcosse, François Barthélémy Thérèse Émilien",3620,viaf,http://viaf.org/viaf/80152636172120052960
"Foucault, Jean Amable (Siehe Saint-Prix)",3476,viaf,http://viaf.org/viaf/55989358
"Fouché, Joseph",3004,viaf,http://viaf.org/viaf/32060105
"Foucher, Madame",5776,viaf,
"Foucher, Paul Henri",3049,viaf,http://viaf.org/viaf/19775590
"Fouquier, Pierre",6148,viaf,http://viaf.org/viaf/25382411
"Fourcroy, Antoine-François",4847,viaf,http://viaf.org/viaf/27146082
"Fourier, Charles",6233,viaf,http://viaf.org/viaf/9846308
"Fournier, Monsieur (Buchhändler)",5449,viaf,
