Person,FuD-ID,Feld,URN
"Copstald, Monsieur",5839,gnd,
"Coquebert de Montbret, Charles",4490,gnd,http://d-nb.info/gnd/117600784
"Coqueley (de Chaussepierre?), Madame",3586,gnd,
"Coquerel, Athanase-Charles",5014,gnd,http://d-nb.info/gnd/116670827
"Corazza, Monsieur",5408,gnd,
"Corbières, Monsieur de",5351,gnd,
"Corday, Charlotte",4120,gnd,http://d-nb.info/gnd/118676881
"Cordellier-Delanoue, Étienne Casimir Hippolyte",4513,gnd,
"Cordier, Madame",4464,gnd,
"Cordon de la Place, Colonnel",5748,gnd,
"Cormenin, Louis Marie de Lahaye de",6516,gnd,http://d-nb.info/gnd/100444873
"Corneille, Pierre",2423,gnd,http://d-nb.info/gnd/118522175
Cornelius,4393,gnd,
"Cornudet, Madame",4202,gnd,
"Corny, Monsieur",2299,gnd,
"Corréard, Alexandre",2208,gnd,http://d-nb.info/gnd/1055203931
"Cortaz (?), Monsieur (Schriftsteller)",4466,gnd,
"Corvetto, Monsieur",6152,gnd,
"Cosnac, Jean-Joseph-Marie-Victoire de",3972,gnd,
"Cotin, Madame",5227,gnd,
"Cotta, Johann Friedrich (?)",5019,gnd,http://d-nb.info/gnd/11852240X
"Cottin, Sophie",2659,gnd,http://d-nb.info/gnd/100797660
"Cottu, Charles (?)",6160,gnd,http://d-nb.info/gnd/1055306692
"Cotzhausen, Fräulein von",3989,gnd,
"Coubard d'Aulnay, Germain Etienne",2103,gnd,
Couchier (Notar),3540,gnd,
"Couder, Auguste",6508,gnd,http://d-nb.info/gnd/116696486
"Coulaincourt, Monsieur de",4541,gnd,
"Coulon, Madame de",5143,gnd,
"Coupé de Saint Donat, [Alexandre?]",3966,gnd,http://d-nb.info/gnd/102017565
"Coupigny, André François de",1919,gnd,http://d-nb.info/gnd/1089231369
"Coupin de la Couperie, Marie-Philippe",3007,gnd,http://d-nb.info/gnd/188485546
"Courageot, Monsieur",5978,gnd,
"Courchamp, Mademoiselle de, verheiratete Lesueur",5412,gnd,
"Courier de Méré, Paul-Louis",3238,gnd,http://d-nb.info/gnd/118670255
"Courier, Esther Etienne Herminie, geb. Clavier",3231,gnd,http://d-nb.info/gnd/1081725192
"Courier, Madame",3886,gnd,
"Cournol, Hippolyte",3095,gnd,
"Court, Milord",3883,gnd,
"Courtin, Monsieur (Revue encyclopédique)",4596,gnd,
"Cousin, Victor",3052,gnd,http://d-nb.info/gnd/118522477
"Cramayel (?), comte de",5520,gnd,
"Cramer, Mademoiselle",5872,gnd,
"Cramer, Monsieur",3537,gnd,
"Créquy, Renée Caroline de Froulay",2261,gnd,http://d-nb.info/gnd/100756948
"Crescentini, Girolamo",4941,gnd,http://d-nb.info/gnd/11672594X
"Crété, Ehepaar",6075,gnd,
"Creuzé [de Lesser], Madame",4191,gnd,
"Creuzé de Lesser, Auguste",4026,gnd,http://d-nb.info/gnd/116726466
"Creuzé-Latouche, Jacques Antoine",2803,gnd,http://d-nb.info/gnd/115889191
"Crignon de Montigny, Augustin",5176,gnd,http://d-nb.info/gnd/1119182735
"Crillon, Ehepaar",5446,gnd,
"Crist (?), Mademoiselle",2385,gnd,
"Croÿ, Madame de",4870,gnd,
"Croÿ, Prinz von",4242,gnd,
"Croy/Croucy, de (Familie)",5608,gnd,
"Croze-Magnan, Simon Célestin",2173,gnd,http://d-nb.info/gnd/119276143
"Cubières, Louis Pierre, marquis de",2926,gnd,http://d-nb.info/gnd/1178752356
"Cubières, Marie Aglaé Despans de",4600,gnd,http://d-nb.info/gnd/1054351716
"Cubières-Palmézeaux, Michel de",2925,gnd,http://d-nb.info/gnd/116757396
"Cuhmans, Monsieur (Siehe Cohmans)",4337,gnd,
"Cuisot, Henriette",1922,gnd,
"Cumberland, Friederike, Duchesse de, geb. Mecklenburg-Strelitz, Königin von Hannover",5157,gnd,http://d-nb.info/gnd/118823663
"Cunin-Gridaine, Laurent",4779,gnd,http://d-nb.info/gnd/116758104
"Cuny, Madame de",5814,gnd,
"Cuny, Monsieur de",4029,gnd,
"Custine, Astolphe Louis Léonor, marquis de",5478,gnd,http://d-nb.info/gnd/118945521
"Cuvelier, Jean-Guillaume-Antoine",2693,gnd,http://d-nb.info/gnd/121574873
"Cuvier, Georges, baron de",2164,gnd,http://d-nb.info/gnd/118677578
"Czarnowski, Major",3988,gnd,
"Dabo, Madame (Verlegerin)",3835,gnd,
"Dacier, Bon-Joseph",1923,gnd,http://d-nb.info/gnd/11601153X
"Dahmen, Herr (Arzt)",4732,gnd,
"Dahmen, Ida, verh. Mengelbier",1924,gnd,
"Dahmen, Mademoiselle",5319,gnd,
"Dalayrac, Nicolas",4993,gnd,http://d-nb.info/gnd/11627509X
"Dalberg, Herzogin von",6226,gnd,
"Dalberg, Karl Theodor Reichsfreiherr von",4978,gnd,http://d-nb.info/gnd/2027787-8
"D'Alembert, eigentl. Le Rond, Jean-Baptiste",2653,gnd,http://d-nb.info/gnd/11850178X
"Dallerand, Monsieur (Arzt)",4080,gnd,
"Dalpuget, Edouard (Bruder? der Félicie Leroy de Bacre)",5249,gnd,
"Dalpuget, Hypolite (Bruder von Félicie Leroy de Bacre)",5232,gnd,
"Dalvimare, Martin-Pierre",2288,gnd,http://d-nb.info/gnd/134864239
"Damas, général",5102,gnd,
"Damaze de Raymond, Gratien Gilbert Joseph",2720,gnd,http://d-nb.info/gnd/172036682
"Dambray, Charles-Henri",3402,gnd,http://d-nb.info/gnd/116019859
"Daminois, Adèle",4254,gnd,
"Dandré, Benoît",2765,gnd,http://d-nb.info/gnd/1037647335
"Dangel, Herr (Gärtner)",4866,gnd,
"Danton, Georges",3378,gnd,http://d-nb.info/gnd/118523732
"D'Arc, Jeanne",3180,gnd,http://d-nb.info/gnd/118557238
Darcosse (Siehe Fossé-Darcosse),6608,gnd,http://d-nb.info/gnd/1157641008
"Dareste de La Chavanne, [J.B. Rodolphe?]",5255,gnd,
"Darly, Mademoiselle",4287,gnd,
"Darmès, Marius",6558,gnd,http://d-nb.info/gnd/120909360X
"Daru, Mademoiselle",4820,gnd,
"Daru, Pierre",1926,gnd,http://d-nb.info/gnd/119069652
"Daumier, Jean-Baptiste",2551,gnd,
"Daunou, Pierre",1927,gnd,http://d-nb.info/gnd/100099173
"Dauriat, Louise",1928,gnd,http://d-nb.info/gnd/1157458963
"Davaux, Monsieur",6128,gnd,
"Davenières, Monsieur",5470,gnd,
"David d'Angers, eigentl. Pierre Jean David",2271,gnd,http://d-nb.info/gnd/118878794
"David, Charles, baron (Sohn des Jacques-Louis)",6367,gnd,
"David, Ehepaar",5188,gnd,
"David, Emilie",2087,gnd,
"David, Familie",2783,gnd,
"David, Henri",4688,gnd,
"David, Jacques-Louis",2767,gnd,http://d-nb.info/gnd/118523945
"David, Jules",2736,gnd,http://d-nb.info/gnd/122328868
"David, König von Israel und Juda",3146,gnd,http://d-nb.info/gnd/118523929
"David, Madame",2427,gnd,
"David, Monsieur",3372,gnd,
"David, Pierre Jean (Siehe David d'Angers)",2269,gnd,http://d-nb.info/gnd/118878794
"Davray, Monsieur (Bekannter des Asfeld)",5992,gnd,
"De Bruyne (?), Monsieur",6106,gnd,
de L. Duchesse de Luxembourg,6670,gnd,
de Lapeyrouse de Vilestiau,6673,gnd,
"De Mat, P.J. (Verleger in Brüssel)",4318,gnd,http://d-nb.info/gnd/1140849441
"de Mirecourt, Eugène, eigentl. Charles Jean-Baptiste Jacquot",6672,gnd,http://d-nb.info/gnd/117050695
"Debeauvoir, Rémi",3532,gnd,
"Debelle, César Alexandre",2874,gnd,http://d-nb.info/gnd/131724924
"Decazes, Élie Louis, duc",2573,gnd,http://d-nb.info/gnd/1159099464
"Degen, Jakob",3174,gnd,http://d-nb.info/gnd/119463180
Degérando (Siehe Gérando),3478,gnd,http://d-nb.info/gnd/118981706
"Degotti, Ignazio",4990,gnd,http://d-nb.info/gnd/1069192325
"Dejean, baronne",6092,gnd,
"Dejean, comtesse",6093,gnd,
"Delacour, Monsieur",5405,gnd,
"Delacroix, Eugène",6386,gnd,http://d-nb.info/gnd/118524461
Delamardelle (Siehe Lamardelle),6633,gnd,http://d-nb.info/gnd/1157747396
"Delambre, Jean-Baptiste Joseph",4141,gnd,http://d-nb.info/gnd/118878913
"Delannoy / Delanoie, Madame",3704,gnd,
"Delaroche, Paul",3827,gnd,http://d-nb.info/gnd/116057661
"Delaunay, Simon-César (Buchhändler und Verleger)",4338,gnd,http://d-nb.info/gnd/1037536231
"Delavigne, Casimir",4995,gnd,http://d-nb.info/gnd/118878921
"Delbruck, Monsieur",3778,gnd,
"Delcroix, Fidèle",5529,gnd,http://d-nb.info/gnd/116058013
"Deldir, Alina, auch D'Eldir",3368,gnd,
"Delessert, Benjamin",3381,gnd,http://d-nb.info/gnd/116058110
"Delessin (?), Monsieur",5350,gnd,
"Delestre-Poirson, Charles-Gaspard",2089,gnd,http://d-nb.info/gnd/121685578
"Delille, Jacques, gen. abbé Delille",1930,gnd,http://d-nb.info/gnd/118679325
"Dellbruck, Jules",6070,gnd,http://d-nb.info/gnd/143538527
"Delloye, H.-L. (Verleger)",4696,gnd,http://d-nb.info/gnd/103754434X
"Delpech, Madame François-Séraphin (Witwe des Lithographs)",6551,gnd,
"Delrieu, Étienne-Joseph-Bernard",1931,gnd,http://d-nb.info/gnd/115635912
"Delvas, Monsieur (Tierarzt)",5740,gnd,
"Demoncy, Monsieur",6014,gnd,
"Démonts, Monsieur (Jurist)",5194,gnd,
"Demoustier, Charles-Albert",3608,gnd,http://d-nb.info/gnd/129930652
"Denis, Ferdinand",2088,gnd,http://d-nb.info/gnd/116071478
"Denon, Dominique Vivant, baron",2076,gnd,http://d-nb.info/gnd/118671499
"Dentu, Jean-Gabriel",3882,gnd,http://d-nb.info/gnd/101961081
"Depping, Georges-Bernard",2104,gnd,http://d-nb.info/gnd/116073934
"Depping, Madame",3769,gnd,
"Derbene, Madame",3965,gnd,
"Déroux, Monsieur",5963,gnd,
"Des Entelles, Monsieur",5073,gnd,
"Des Essarts, Monsieur",5719,gnd,
"Des Michels, Monsieur (Historiker, Lycée Henri IV)",5208,gnd,
"Desain, Monsieur",5781,gnd,
"Desaix, Louis Charles Antoine",6560,gnd,http://d-nb.info/gnd/119462737
"Desanges, Monsieur",5037,gnd,
"Désarnaud, Monsieur",4251,gnd,
Désarnaud; Madame (Vermieterin der CdS 1824?),5883,gnd,
Desaudrais (Siehe Gaullard de Saudray),4988,gnd,http://d-nb.info/gnd/128526467
"Désaugiers, Auguste-Félix",2683,gnd,http://d-nb.info/gnd/132115115
"Désaugiers, Marc-Antoine",2564,gnd,http://d-nb.info/gnd/124656188
"Désaugiers, Marc-Antoine-Madeleine (Sohn des Marc-Antoine)",6603,gnd,http://d-nb.info/gnd/116081546
"Desauneaux, Tiphaine (Notar)",3542,gnd,
"Desbordes, Monsieur",4195,gnd,
"Desbordes-Valmore, Marceline",4138,gnd,http://d-nb.info/gnd/118524836
"Desbranches, Monsieur",6083,gnd,
"Descartes, Catherine",2346,gnd,http://d-nb.info/gnd/1055272844
"Descartes, René",2833,gnd,http://d-nb.info/gnd/118524844
"Deschamps, Emile oder Anthony (?), eigentlich Deschamps de Saint-Amand",6158,gnd,http://d-nb.info/gnd/117632767
"Descharmes, Monsieur",5075,gnd,
"Deschênes, Monsieur",6242,gnd,
"Desfontaines, Mademoiselle",3855,gnd,
"Desfontaines, Monsieur",4985,gnd,
"Desfontaines, Pierre François Guyot, abbé",3147,gnd,http://d-nb.info/gnd/118671596
"Desfontaines, René Louiche",1932,gnd,http://d-nb.info/gnd/104130717
"Desgranges, Monsieur",5720,gnd,
"Deshayes, Monsieur",2220,gnd,
"Deshoulières, Antoinette",3077,gnd,http://d-nb.info/gnd/123816637
"Desideria Bernadotte, Königin von Schweden und Norwegen, geb. Clary, Bernardine Eugénie Désirée",2494,gnd,http://d-nb.info/gnd/118638742
"Desilley, Monsieur",3917,gnd,
"Desonceaux, Madame",5779,gnd,
"Desoria, Jean-Baptiste François",2086,gnd,
"Désormery, Évelyne",2738,gnd,http://d-nb.info/gnd/115348387
"Despage, Monsieur",5643,gnd,
"Despagny (d'Espagny?), Monsieur",3744,gnd,
"Despéroux (?), Monsieur (Dichter)",3728,gnd,
"Desperrichons (?), Monsieur",6110,gnd,
"Despilly, Monsieur",6024,gnd,
"Desplechin, Madame (Journalistin)",5288,gnd,
"Desportes, Félix",6352,gnd,http://d-nb.info/gnd/1046199919
"Despréaux, Jean-Étienne",1933,gnd,http://d-nb.info/gnd/130863319
"Despréaux, Madeleine",3258,gnd,
"Desroches, L.B., geb. Lalande",1934,gnd,
Detournay (Siehe Tournay),6609,gnd,
"Devenet (?), Monsieur",6113,gnd,
"Devise, Mademoiselle de",6079,gnd,
"Devise, Monsieur de (Cousin der CdS)",3628,gnd,
"Devisme, Monsieur",6114,gnd,
Dezèse (Siehe Sèze),4726,gnd,
"Dibetz / Diebetz, General",2483,gnd,
"Didelot, Charles-Louis",2552,gnd,http://d-nb.info/gnd/1050457501
"Diderot, Denis",2652,gnd,http://d-nb.info/gnd/118525263
"Didot, Firmin",1935,gnd,http://d-nb.info/gnd/116173068
"Didot, Jules",3666,gnd,http://d-nb.info/gnd/1037560728
"Didot, Madame",3692,gnd,
"Didot, Monsieur",4100,gnd,
"Didot, Pierre",2663,gnd,http://d-nb.info/gnd/117636940
"Dienne, comte de",4201,gnd,
"Diesbach, Louis Alexandre Ladislas de",6572,gnd,http://d-nb.info/gnd/1052685943
"Dino, Dorothea von Biron, Herzogin von Sagan, Herzogin von",2696,gnd,http://d-nb.info/gnd/119377829
"Döhnhoff, August Heinrich Hermann von",3125,gnd,http://d-nb.info/gnd/116157410
"Doin, Sophie",5392,gnd,http://d-nb.info/gnd/1030405093
"Doligny, Mademoiselle",5303,gnd,
"Dolomieu, marquise de",4369,gnd,
"Dombasle, Mathieu de",6519,gnd,
"Donnadieu, général vicomte Gabriel",3949,gnd,http://d-nb.info/gnd/122193636
"Donon-Cadot, Edouard",2648,gnd,
"Doré, Monsieur",6060,gnd,
"Dorschel, Herr (Arzt)",3711,gnd,
"Dorschell, Frau (Ehefrau des gleichnamigen Aachener Arztes)",5078,gnd,
"Dorth, Frau von",4442,gnd,
"Dorth, Major von",5126,gnd,
"Dorval, Madame",4255,gnd,
"Doucet, General",5123,gnd,
"Doucet, Monsieur",4725,gnd,
"Douin, Ehepaar",5884,gnd,
"Dournel de Bonnival, Monsieur",2704,gnd,
"Douvuel, Madame",4773,gnd,
"Douvuel, Monsieur",4775,gnd,
"Doypot, Monsieur",6044,gnd,
"Doze, Mademoiselle (Schauspielerin)",5801,gnd,
"Drais, Françoise (Tochter von Pierre Drais)",5531,gnd,
"Drais, Pierre (Vertrauensmann der CdS)",2240,gnd,http://d-nb.info/gnd/1188442287
"Droste zu Senden, Herr",5070,gnd,
"Droste zu Vischering, Clemens August, Freiherr von",2866,gnd,http://d-nb.info/gnd/118680846
"Drouet, Monsieur",4090,gnd,
"Drouin, Monsieur (Notar in Coucy)",5905,gnd,
"Drouineau, Monsieur",4473,gnd,http://d-nb.info/gnd/137687060
"Droz, Joseph",3839,gnd,http://d-nb.info/gnd/116227540
Dschinghis Khan,6171,gnd,http://d-nb.info/gnd/118527576
"Du Bellay, Joachim",2542,gnd,http://d-nb.info/gnd/118527649
"Du Bocage, Anne-Marie",5707,gnd,http://d-nb.info/gnd/118096834
"Du Château, Monsieur",5254,gnd,
"Du Châtelet, Gabrielle-Émilie Le Tonnelier de Breteuil, marquise",2796,gnd,http://d-nb.info/gnd/118681028
"Du Deffand, Marie de Vichy-Chamrond, marquise",4749,gnd,http://d-nb.info/gnd/119241889
"Du Fresny / Dufresny, Charles",2555,gnd,http://d-nb.info/gnd/118672606
"Du Marsais / Dumarsais, César Chesneau",3411,gnd,http://d-nb.info/gnd/118520385
"Du Potet, Jules Dupotet de Sennevoy, genannt Baron",6320,gnd,http://d-nb.info/gnd/115885668
"Duault, François-Marie-Guillaume",1936,gnd,http://d-nb.info/gnd/130858773
"Dubarry, Madame (Siehe Barry)",6649,gnd,http://d-nb.info/gnd/118527614
"Dubois, Guillaume",2907,gnd,http://d-nb.info/gnd/100463363
"Dubois, Monsieur (Arzt in Paris)",5305,gnd,
"Dubos, Constant",2710,gnd,http://d-nb.info/gnd/123139191X
"Duchambge, Pauline, eigentl. Antoinette Pauline de Montet-Duchambge",4360,gnd,http://d-nb.info/gnd/102834822
"Duchâtel, Monsieur",6123,gnd,
"Duchesne, Monsieur",6333,gnd,
"Duchesnois, Catherine-Joséphine, geb. Rafin, gen. Mademoiselle",1937,gnd,http://d-nb.info/gnd/143993690
"Duchosal, Marie-Émile-Guillaume",1938,gnd,http://d-nb.info/gnd/128511419
"Ducis, Jean-François",1939,gnd,http://d-nb.info/gnd/119097222
"Ducis, Madame",3997,gnd,
"Ducis, Monsieur",5007,gnd,
"Duclerc, Monsieur",4102,gnd,http://d-nb.info/gnd/1014598621
"Ducos, Monsieur (Freund des Sauvo)",6059,gnd,
"Ducret de Villeneuve, Madame (geb. Adélaïde Thévenard?)",4111,gnd,
"Dufau, Pierre Armand",6435,gnd,http://d-nb.info/gnd/100463940
"Dufour de Saint Pathus, Julien-Michel",3547,gnd,http://d-nb.info/gnd/129758167
"Dufour, Monsieur (Jurist)",4824,gnd,
"Dufrénoy, Monsieur",4746,gnd,
"Dufresne, Abel",2583,gnd,http://d-nb.info/gnd/105509458X
"Dufresnoy, Adélaïde-Gillette, geb. Billet",3064,gnd,http://d-nb.info/gnd/124877338
"Dugas, Victor",6563,gnd,
"Dugazon, Henry",4158,gnd,http://d-nb.info/gnd/1145750346
"Dugier, Monsieur",4716,gnd,
"Duhault / Duault, Monsieur",3650,gnd,
"Dulac, comte",4390,gnd,
"Dulaure, Jacques-Antoine",5092,gnd,http://d-nb.info/gnd/104345535
"Dumas, Alexandre",2197,gnd,http://d-nb.info/gnd/118528068
"Dumas, Jean-Baptiste (von der Académie in Lyon?)",2149,gnd,http://d-nb.info/gnd/100828051
"Dumas, Monsieur",3768,gnd,
"Dumas, Monsieur (Strassenbauingenieur aus dem Dep. Sarthe)",6357,gnd,
"Dumas, Thomas Alexandre",3370,gnd,http://d-nb.info/gnd/11954721X
"Dumast, Monsieur de",3834,gnd,
"Dumesnil, Alexis",6382,gnd,http://d-nb.info/gnd/120314452
"Dumon, Pierre Sylvain",4780,gnd,http://d-nb.info/gnd/116250526
"Dumont d’Urville, Jules Sébastien César",6469,gnd,http://d-nb.info/gnd/117663182
"Dumont, François",6581,gnd,http://d-nb.info/gnd/122035089
"Dumont, Pierre-Joseph",4276,gnd,http://d-nb.info/gnd/1067652469
"Dumoutier, P.M.A.",6468,gnd,http://d-nb.info/gnd/1035331535
"Dunaime, Em.[manuel?]",5496,gnd,
"Dupaty, Charles Jean Baptiste Mercier",2758,gnd,http://d-nb.info/gnd/119005743
"Dupaty, Emmanuel Mercier",2757,gnd,http://d-nb.info/gnd/100465137
"Dupaty, Madame",3837,gnd,
"Dupaty, Monsieur",4507,gnd,
"Dupé, Dr.",5943,gnd,
"Dupetit-Thouars, [Louis-Marie Aubert?]",3842,gnd,http://d-nb.info/gnd/120562324
"Dupetit-Thouars, Admiral Abel Aubert du Petit-Thouars, gen.",6540,gnd,http://d-nb.info/gnd/117663484
"Dupin, André",5262,gnd,http://d-nb.info/gnd/12923995X
"Dupin, Charles",4250,gnd,http://d-nb.info/gnd/119019140
"Dupin, Madame",3665,gnd,
"Dupin, Monsieur",3755,gnd,
"Dupin, Philippe",6364,gnd,http://d-nb.info/gnd/1050460545
"Duplessis-Mornay, Philippe, eigentl. Philippe de Mornay, seigneur du Plessis-Marly",3163,gnd,http://d-nb.info/gnd/118584200
"Dupont de l'Étang, Pierre Antoine, comte",2498,gnd,http://d-nb.info/gnd/123685346
"Dupont de Nemours, Pierre Samuel",2302,gnd,http://d-nb.info/gnd/100824366
"Dupont, Ambroise et Cie (Verleger)",6162,gnd,http://d-nb.info/gnd/1140066110
"Dupont, comtesse de",5440,gnd,
"Dupont, Madame",3863,gnd,
"Duport, Louis-Antoine",6632,gnd,http://d-nb.info/gnd/116253657
"Duportail, Monsieur",6001,gnd,
"Duprat ou Murat?, Caroline",6674,gnd,
"Duprez, Gilbert",6250,gnd,http://d-nb.info/gnd/118957260
"Dupuis, Charles-François",1941,gnd,http://d-nb.info/gnd/117663638
"Dupuy, Monsieur",4405,gnd,
"Dupuytren, Guillaume, baron",6118,gnd,http://d-nb.info/gnd/116254270
"Duquelin, Madame",5192,gnd,
"Durand, Sophie",2950,gnd,http://d-nb.info/gnd/123193923
"Duras, Claire de (Siehe Lechal de Kersaint)",3473,gnd,http://d-nb.info/gnd/119543338
"Durham, Lord",3746,gnd,
"Duroc, Gérard Christophe Michel",3161,gnd,http://d-nb.info/gnd/116256729
"Duronceray, Pierre Laigneau",6588,gnd,http://d-nb.info/gnd/104142553
"Durselen, Herr",5065,gnd,
"Durusnel, Madame de",5769,gnd,
"Dusausoir, Jean-François",1942,gnd,http://d-nb.info/gnd/116256915
"Dussault, Jean Joseph",4550,gnd,http://d-nb.info/gnd/10011752X
"Duterte, comte (de?)",4220,gnd,
"Dutremblay, Antoine-Pierre",1943,gnd,http://d-nb.info/gnd/1051386195
"Dutrône, Monsieur",3571,gnd,
Duval (Siehe auch Pineux),5374,gnd,http://d-nb.info/gnd/104201088
"Duval, Alexandre, eigentl. Alexandre-Vincent Pineux",1944,gnd,http://d-nb.info/gnd/104201088
"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux",1945,gnd,http://d-nb.info/gnd/116258659
"Duval, Amouroux, Sohn von (Maler)",5790,gnd,
"Duval, Eugène Emmanuel Amaury (Sohn des Amaury Duval, Maler)**",3613,gnd,http://d-nb.info/gnd/117660302
"Duval, Georges-Louis-Jacques",2578,gnd,http://d-nb.info/gnd/124427057
"Duval, Henri",5600,gnd,http://d-nb.info/gnd/102992886X
"Duval, Madame",4579,gnd,
"Duval, Madame (Ehefrau des Henri)",3616,gnd,
"Duval, Madame (Ehefrau von Amaury Duval)",5289,gnd,
"Duval, Madame (Ehefrau von Henri Duval, Tochter von Houdon)",5601,gnd,
"Duval, Madame (Mutter von Amaury und Alexandre)",5525,gnd,
"Duval, Mademoiselle (Tochter Amaury Duvals)",5892,gnd,
"Duval, Mademoiselle, später Madame Guyet-Desfontaines (?) (Tochter des Amaury Duval)",6173,gnd,http://d-nb.info/gnd/117660302
"Duval, Monsieur",3996,gnd,
"Duveaux, Henri",3999,gnd,
"Duvilliers, Monsieur (Arzt)",4055,gnd,
"Duvivier, Amédée (Sekretär)",6175,gnd,
"Duvivier, Bernard",2886,gnd,http://d-nb.info/gnd/123105463
"Duvivier, Familie",4787,gnd,
"Duvivier, J.M.F. Auguste",6507,gnd,
"Dwernicki, Józef",3257,gnd,http://d-nb.info/gnd/123251974
"Eberstein, Major",4583,gnd,
"Eckardt, Wilhelmine",3622,gnd,
"Eckstein, Ferdinand Baron",5476,gnd,http://d-nb.info/gnd/118681583
Écouchard (Siehe Lebrun Pindare),3482,gnd,http://d-nb.info/gnd/116859539
"Edgeworth, Maria",4069,gnd,http://d-nb.info/gnd/118681648
"Edon, Monsieur (Notar)",4823,gnd,
"El Cid, eigentlich: Rodrigo Diaz de Vivar",5909,gnd,http://d-nb.info/gnd/118838989
"Elder, Aline d'",5464,gnd,
"Elfes,Dr. (Arzt aus Neuss und ""Kreisphysicus"")",4559,gnd,
"Élie de Beaumont,  Léonce",2140,gnd,http://d-nb.info/gnd/116098627
"Elisabeth Ludovika Königin von Preußen, geb. Prinzessin von Bayern",2730,gnd,http://d-nb.info/gnd/118688634
"Elleviou, Jean",5276,gnd,http://d-nb.info/gnd/116451513
"Émeriau de Beauverger, Maxime Julien",6081,gnd,http://d-nb.info/gnd/1034624024
"Émeric-David, Toussaint Bernard",2698,gnd,http://d-nb.info/gnd/117500178
"Emler, François-Patrice-Frédéric (Buchhändler)",5028,gnd,
"Empis, Adolphe-Simonis",2924,gnd,http://d-nb.info/gnd/117500275
"Emundts, Edmund",2862,gnd,http://d-nb.info/gnd/11647159X
"Emundts, Frau, geb. Springfelds",5139,gnd,
"Emundts, Herr (Bürgermeister von Aachen)",5579,gnd,
"Enghien, duc d' (Siehe Bourbon-Condé, Louis Antoine)",3459,gnd,http://d-nb.info/gnd/118684884
"Épagny, Jean-Baptiste Violet d'",4455,gnd,http://d-nb.info/gnd/115643958
"Épernon, Jean-Louis de Nogaret de La Valette, duc d'",2562,gnd,http://d-nb.info/gnd/118921045
Épictète,2618,gnd,http://d-nb.info/gnd/118530577
Epikur,3150,gnd,http://d-nb.info/gnd/118530585
"Épinay, Louise Florence Pétronille, marquise Lalive d'",2860,gnd,http://d-nb.info/gnd/118685015
"Érard, Mademoiselle (Musikerin und Verlegerin?)",4999,gnd,
"Erard, Monsieur",5965,gnd,
"Ernst August I., König von Hannover",3259,gnd,http://d-nb.info/gnd/118530925
"Erval, Madame la baronne (Dupont d'?)",4971,gnd,
Erysichton,3148,gnd,http://d-nb.info/gnd/118829718
"Escherny, François-Louis, comte d'",6376,gnd,http://d-nb.info/gnd/116569387
"Escousse, Victor, eigentl. Victor Laserre",3730,gnd,http://d-nb.info/gnd/1157584160
"Eskuchen, K. (? Lithograph)",4948,gnd,
"Esménard, Joseph-Alphonse",2356,gnd,http://d-nb.info/gnd/117512885
"Espartero, General Bardomero",6458,gnd,http://d-nb.info/gnd/116574747
"Estancelin, Louis",6354,gnd,http://d-nb.info/gnd/172065364
"Este, Augustus Frederick d'",2852,gnd,http://d-nb.info/gnd/132765535
"Esterházy de Galantha, Maria Josepha Hermengilde, geb. von Liechtenstein",2178,gnd,http://d-nb.info/gnd/103202481X
"Esterhazy de Galantha, Nikolaus II. Fürst",2534,gnd,http://d-nb.info/gnd/130146870
"Esterházy von Galantha, Maria Theresia, geb. von Thurn und Taxis",2182,gnd,http://d-nb.info/gnd/1016490887
"Esterházy von Galantha, Paul (Schwiegersohn der Therese von Thurn und Taxis)",5000,gnd,http://d-nb.info/gnd/119526743
"Etevé, Monsieur",5946,gnd,
"Étienne de Jouy, Joseph Étienne, gen.",2281,gnd,http://d-nb.info/gnd/100794548
"Etienne, Charles-Guillaume",3674,gnd,http://d-nb.info/gnd/118682482
"Etiol(l)es, Madame (Leroy?) d'",5930,gnd,
"Eugène, Monsieur",5981,gnd,
"Eulriot, Monsieur (Erfinder)",6355,gnd,
"Evelt, Christian (Rechtsanwalt in Düsseldorf)",2530,gnd,http://d-nb.info/gnd/117736961
"Evelt, Mademoiselle",5072,gnd,
"Evelt, Pater",5544,gnd,
Evelyn (Cousin der Mme Pougens),4975,gnd,
"Evret, Monsieur (Arzt?)",5569,gnd,
"Eynatten (?), Herr von",5671,gnd,
"Eyriès, Jean-Baptiste Benoît",3968,gnd,http://d-nb.info/gnd/116326123
"Fabre, Auguste-Jean-Raymond",2813,gnd,http://d-nb.info/gnd/123579694
"Fabre, Marie-Jacques-Joseph-Victorin",4752,gnd,http://d-nb.info/gnd/124620000
"Fabrequette, Monsieur (frz. Konsul in Malta)",6282,gnd,
"Fabricius, Herr (von?)",6284,gnd,
"Fabry-Garat, Joseph Dominique",4501,gnd,http://d-nb.info/gnd/128894733
"Fabvier, Charles Nicolas",5957,gnd,http://d-nb.info/gnd/116372125
"Fagel, Henri, baron de",4499,gnd,http://d-nb.info/gnd/120783320
"Fahne, Herr",5754,gnd,
"Fain, Agathon Jean François, baron",2210,gnd,http://d-nb.info/gnd/116383666
"Faivre, Monsieur",3891,gnd,
"Falck, Monsieur (niederländischer Diplomat)",5043,gnd,
"Fallenstein, Georg Friedrich (?)",2599,gnd,http://d-nb.info/gnd/11639692X
