Person,FuD-ID,Feld,URN
"Ariosto, Ludovico, gen. Ariost",2815,gnd,http://d-nb.info/gnd/118503952
Aristippos von Kyrene,2670,gnd,http://d-nb.info/gnd/118650114
Aristophanes,2563,gnd,http://d-nb.info/gnd/118503987
Aristoteles,2992,gnd,http://d-nb.info/gnd/118650130
"Arlincourt, Charles-Victor Prévost, vicomte d'",4556,gnd,http://d-nb.info/gnd/116340541
Armand (Dramatiker),5660,gnd,
Armand-Aubrée (Verleger),4736,gnd,
"Armfield, Sensitive",6336,gnd,
"Arnaud (Arnault?), Monsieur",4143,gnd,
"Arnault, Antoine Vincent",2622,gnd,http://d-nb.info/gnd/116342439
"Arnault, Lucien",3200,gnd,http://d-nb.info/gnd/1053413505
"Arnault, Monsieur",3897,gnd,
"Arnim, Graf von",4865,gnd,
"Arnim, Rittmeister von",5630,gnd,
"Arnim-Boitzenburg, Adolf Heinrich von",2848,gnd,http://d-nb.info/gnd/116349697
"Arnim-Boitzenburg, Anna Caroline von, geb. von der Schulenburg",2850,gnd,http://d-nb.info/gnd/1023379422
Arschot (Siehe Aarschot),3452,gnd,
"Artaud, Madame",5516,gnd,
"Arthenay, Monsieur d'",5501,gnd,
"Arthus-Bertrand, Claude",4457,gnd,http://d-nb.info/gnd/103757754X
"Artigaux, Bertrand, comte d'",5166,gnd,
"Artois, comte d' (Siehe Angoulême, Berry, Chambord oder Charles X)",6651,gnd,http://d-nb.info/gnd/104142316
"Asbeck, Madame",5853,gnd,
"Asfeld, L. C. d'",2580,gnd,
"Asfeld, Monsieur d'",3590,gnd,
Asklepios,3138,gnd,http://d-nb.info/gnd/118500864
"Astoud, Madame, geb. Jaillot",6109,gnd,
"Astoud, Monsieur (Vertrauensperson des Pugnet)",6097,gnd,
AthénéeXX,3553,gnd,
"Aubard / Aubart, Monsieur",4828,gnd,
"Aubenas, Monsieur",5011,gnd,
"Auber, Daniel-François-Esprit",3154,gnd,http://d-nb.info/gnd/118646192
"Aubriet, Claude",6567,gnd,http://d-nb.info/gnd/123667453
"Aubry-Lecomte, Hyacinthe",3269,gnd,http://d-nb.info/gnd/1047205033
"Audiffret, Florimond Louis, comte d'",3931,gnd,
"Audiffret, Madame d'",3765,gnd,
"Audiffret, Mademoiselle d'",4270,gnd,
"Audoi, Monsieur",3687,gnd,
"Audouard, Monsieur",4478,gnd,
"Audouin de Géronval, Maurice",2099,gnd,http://d-nb.info/gnd/1067991905
"Audrand [de l'Allier], Monsieur",6200,gnd,
"Auger, Louis Simon",4395,gnd,http://d-nb.info/gnd/117669180
"Auger, Madame (Ehefrau des Louis Simon)",5913,gnd,
"Auguis, Pierre-René",2195,gnd,http://d-nb.info/gnd/10032083X
"Augusta von Sachsen-Weimar-Eisenach, Prinzessin von Preußen, später Kaiserin von Deutschland",3110,gnd,http://d-nb.info/gnd/118651102
"Auguste, S.C.",5612,gnd,
"Aurora, Tante (= Kopp?)",4523,gnd,
"Auvity, Monsieur (Arzt?)",5832,gnd,
"Aycard, Monsieur Marie",5550,gnd,http://d-nb.info/gnd/1157461905
"Ayzac, Félicie Marie Émilie d'",2216,gnd,
"Azaïs, Hyacinthe",2753,gnd,http://d-nb.info/gnd/117669660
"Azevedo (?), Madame",5252,gnd,
"Babaut, Monsieur",4477,gnd,
"Babbage, Charles",6415,gnd,http://d-nb.info/gnd/118505459
"Babinet, Jacques",6470,gnd,http://d-nb.info/gnd/117534544
"Babois, Marguerite Victoire",2211,gnd,http://d-nb.info/gnd/1078749973
"Bachaumont, Louis Petit de",3274,gnd,http://d-nb.info/gnd/119307294
"Bache, [Alexander Dallas] (amerikanischer Wissenschaftler)",6219,gnd,http://d-nb.info/gnd/119214601
"Bache, Monsieur (Bruder von Rose Vien)",5366,gnd,
"Backmann, Monsieur",6048,gnd,
"Bacon, Francis",6461,gnd,http://d-nb.info/gnd/118505696
"Baden, Stéphanie von, geb. de Beauharnais",2167,gnd,http://d-nb.info/gnd/118617818
"Baecker, Casimir (Adoptivsohn der Madame de Genlis)",4991,gnd,http://d-nb.info/gnd/1140147102
"Bagensky, Monsieur",4519,gnd,
"Baillère, Jean-Baptiste (?) (Buchhändler)",5460,gnd,http://d-nb.info/gnd/132428830
"Bailleul, Jacques-Charles",3060,gnd,http://d-nb.info/gnd/128895810
"Bailly, Jean-Louis-Armand",2594,gnd,
"Balbi, Adriano",6419,gnd,http://d-nb.info/gnd/116041625
"Ballande, Hilarion",6511,gnd, http://d-nb.info/gnd/132428830
"Balleyguier, Eugène (Pseud. Loudun)",3169,gnd,http://d-nb.info/gnd/1089758448
"Ballin, Madame",5868,gnd,
"Ballin, Monsieur (Betreiber des Internats in Brüssel bis 1828)",5406,gnd,
"Baltard, Louis Pierre",4269,gnd,http://d-nb.info/gnd/117561924
"Balzac, Honoré de",2794,gnd,http://d-nb.info/gnd/118506358
"Banvey, Monsieur",5795,gnd,
"Baour-Lormian, Pierre",4146,gnd,http://d-nb.info/gnd/118657070
"Bapst, Monsieur",6047,gnd,
"Bar, Michel",5027,gnd,
"Baral, Monsieur de",2444,gnd,
"Barante, Prosper Brugière, baron de",4438,gnd,http://d-nb.info/gnd/1183300573
"Barbé-Marbois, François",5463,gnd,http://d-nb.info/gnd/119042134
"Barbié du Bocage, Jean-Denis",1892,gnd,http://d-nb.info/gnd/117563129
"Barbier, Antoine-Alexandre",1893,gnd,http://d-nb.info/gnd/116051795
"Barbier, Louis-Nicolas",2152,gnd,http://d-nb.info/gnd/116051930
"Barbier, Madame",4659,gnd,
"Barbier, Monsieur",5365,gnd,
"Barbier, Monsieur (2. Sohn des Antoine-Alexandre)",4278,gnd,
"Barbier-Vémars, Joseph-Nicolas",2966,gnd,
"Bard, Charles Joseph",3758,gnd,http://d-nb.info/gnd/1055088660
"Bardeul, Monsieur",6569,gnd,
"Barère de Vieuzac, [Bertrand]",4002,gnd,http://d-nb.info/gnd/118657216
"Barot, Monsieur (Biographie des contemporains)",5889,gnd,
"Barrachin, Louis-Gaspard",6267,gnd,
"Barrault (de Saint-André?), Monsieur",5419,gnd,
"Barrault, Madame, geb. de Saint-André",3105,gnd,
"Barré, Pierre-Yves",3522,gnd,http://d-nb.info/gnd/100429335
"Barrot, Odilon",6347,gnd,http://d-nb.info/gnd/116059850
"Barry, Jeanne Bécu, comtesse du",3435,gnd,http://d-nb.info/gnd/118527614
"Barth, Monsieur (Professor in St Cyr)",5865,gnd,
"Barthe-Labastide, Louis-Jacques-Guillaume",6365,gnd,
"Barthélemy, abbé Louis",4551,gnd,http://d-nb.info/gnd/138424101
"Barthélémy, Marseille Auguste",6164,gnd,http://d-nb.info/gnd/118202960
"Basseporte, Madeleine Françoise",6566,gnd,http://d-nb.info/gnd/132242761
"Bastide, Jenny",4236,gnd,http://d-nb.info/gnd/171967550
"Bathilde, Mademoiselle",5098,gnd,
"Battagna, Herr",6502,gnd,
"Batteux, Charles",3410,gnd,http://d-nb.info/gnd/118507141
"Baude, Jean-Jacques",2732,gnd,http://d-nb.info/gnd/17196778X
"Baudin, Admiral Charles",6280,gnd,http://d-nb.info/gnd/116083166
"Baudrand, Marie-Étienne-François-Henri",2836,gnd,http://d-nb.info/gnd/117568295
"Bauer, Monsieur de",4101,gnd,
"Baumeister, Herr (Offizier der Nationalgarde bei Dyck)",4852,gnd,
"Baumont, Madame",4051,gnd,
"Baumont, Mademoiselle",4050,gnd,
"Bavier, Madame de",5581,gnd,
"Bavier, Major de",2642,gnd,
"Bavier, Monsieur de",3716,gnd,
"Bayard, Jean François Alfred",2349,gnd,http://d-nb.info/gnd/117767360
"Bayard, Pierre Teillard, seigneur de Baillard, genannt chevalier",6172,gnd,
"Bayern, Könige von (Siehe Einträge unter Vornamen)",6636,gnd,
"Bazin, Eugène Louis (Notar in Paris)",3574,gnd,
"Bazin, Mademoiselle",4252,gnd,
"Bazot, Etienne-François",4834,gnd,http://d-nb.info/gnd/116097663
"Béarn, Alexandre de Galard de Brassac de",3301,gnd,
"Beauchamp, Alphonse de",3006,gnd,http://d-nb.info/gnd/117767905
"Beauchesne, Alcide de",4500,gnd,http://d-nb.info/gnd/124522874
"Beauchesne, Alfred de",2592,gnd,http://d-nb.info/gnd/116098023
"Beaucourt, Mademoiselle (Schauspielerin)",5272,gnd,
"Beaufort d'Hautpoul, Anne-Marie, comtesse de, geb. de Montgeroult",3290,gnd,http://d-nb.info/gnd/1055091041
"Beaufort d'Hautpoul, Édouard Brandoin de Ballaguier marquis de",3082,gnd,
"Beaufort, J. G. (Inhaber einer Druckerei in Aachen, imprimeur de la Préfecture)",3605,gnd,
"Beauharnais, Eugène de",2611,gnd,http://d-nb.info/gnd/1162739487
"Beauharnais, Fanny de, geb. Marie-Anne-Françoise Mouchard de Chaban",1894,gnd,http://d-nb.info/gnd/124619061
"Beauharnais, Hortense de, Königin von Holland, Gemahlin von Louis Bonaparte",2804,gnd,http://d-nb.info/gnd/118553720
"Beauharnais, Joséphine de, jr., spätere Königin von Schweden (Tochter des Eugène de Beauharnais)",3216,gnd,http://d-nb.info/gnd/136636616
"Beauharnais, Joséphine de, Kaiserin der Franzosen, geb. Tascher de la Pagerie",2687,gnd,http://d-nb.info/gnd/118558420
"Beauharnais, Maximilien de",2870,gnd,http://d-nb.info/gnd/116958200
"Beauharnais, Stéphanie de (Siehe Baden)",3453,gnd,http://d-nb.info/gnd/118617818
"Beaumarchais, Pierre Augustin Caron de",3215,gnd,http://d-nb.info/gnd/118507850
"Beaumont, Léonce Élie de",3097,gnd,http://d-nb.info/gnd/116098627
"Beaumont, Mademoiselle de",6677,gnd,
"Beaumont, Monsieur de",5590,gnd,
"Beauné, Monsieur (ehemaliger Priester)",4200,gnd,
"Beauregard, comtesse de",4759,gnd,
"Beauvallet, Pierre-François",6531,gnd,http://d-nb.info/gnd/116098724
"Becdelièvre, comtesse de",3433,gnd,
"Béchard, Ferdinand",6390,gnd,http://d-nb.info/gnd/102822298X
"Becker, Monsieur",5820,gnd,
"Beckford, William",3286,gnd,http://d-nb.info/gnd/118997858
"Becquerel, Antoine-César",3375,gnd,http://d-nb.info/gnd/116106875
"Beethoven, Ludwig van",6645,gnd,http://d-nb.info/gnd/118508288
"Behr, baronne de",4944,gnd,
"Behr, Michel",2377,gnd,
"Beiffant (?), Monsieur (Autor)",4137,gnd,
"Beissel, Monsieur",5863,gnd,
"Belangé, Monsieur",5437,gnd,
"Bélanger (Bellanger?), Monsieur",5428,gnd,
"Bélanger, Charles",2588,gnd,http://d-nb.info/gnd/1089273274
"Bélanger, François-Joseph",2389,gnd,http://d-nb.info/gnd/123343755
