Person,Siehe auch,FuD-ID,Feld
"Álava, Miguel Ricardo de","['http://id.loc.gov/rwo/agents/no2016028565', 'http://isni.org/isni/0000000060414142', 'http://viaf.org/viaf/87246609', 'http://www.wikidata.org/entity/Q451113', 'https://d-nb.info/gnd/1079882162/about', 'https://de.wikipedia.org/wiki/Miguel_Ricardo_de_%C3%81lava', 'https://en.wikipedia.org/wiki/Miguel_Ricardo_de_%C3%81lava', 'https://kalliope-verbund.info/gnd/1079882162']",5209,gnd
"Albert de Luynes, Jeanne Baptiste d', comtesse de Verrue","['http://viaf.org/viaf/309681516', 'https://d-nb.info/gnd/1055312609/about']",3313,gnd
"Albrand, Pierre",,2610,gnd
"Albufera, Mademoiselle d'",,4397,gnd
"Alexander I., Zar von Russland","['http://catalogue.bnf.fr/ark:/12148/cb119430294', 'http://dbpedia.org/resource/Alexander_I_of_Russia', 'http://id.loc.gov/rwo/agents/n80017534', 'http://isni.org/isni/0000000121185276', 'http://viaf.org/viaf/4938543', 'http://www.portraitindex.de/dokumente/pnd/118501852', 'http://www.wikidata.org/entity/Q15193', 'https://d-nb.info/gnd/1089885571', 'https://d-nb.info/gnd/118501852/about', 'https://de.wikipedia.org/wiki/Alexander_I._%28Russland%29', 'https://en.wikipedia.org/wiki/Alexander_I_of_Russia', 'https://kalliope-verbund.info/gnd/118501852', 'https://www.archivportal-d.de/person/gnd/118501852', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118501852']",2176,gnd
"Alexander, Prinz (Alexander von Preußen?)",,5736,gnd
"Alibaud, Louis",,3632,gnd
"Alibert, Jean-Louis, baron","['http://catalogue.bnf.fr/ark:/12148/cb12180864q', 'http://dbpedia.org/resource/Jean-Louis-Marc_Alibert', 'http://id.loc.gov/rwo/agents/n84155232', 'http://isni.org/isni/0000000121418519', 'http://viaf.org/viaf/84791414', 'http://www.portraitindex.de/dokumente/pnd/118501984', 'http://www.wikidata.org/entity/Q1684953', 'https://d-nb.info/gnd/118501984/about', 'https://de.wikipedia.org/wiki/Jean-Louis_Alibert', 'https://en.wikipedia.org/wiki/Jean-Louis-Marc_Alibert', 'https://kalliope-verbund.info/gnd/118501984', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118501984']",5326,gnd
"Alibert, Madame",,5301,gnd
"Alice, Mademoiselle (Dienstmädchen in Paris)",,5429,gnd
"Allard, Madame",,4174,gnd
"Allenet (?), Monsieur",,3248,gnd
"Allou, Charles-Nicolas","['http://catalogue.bnf.fr/ark:/12148/cb120758260', 'http://isni.org/isni/0000000010278728', 'http://viaf.org/viaf/56633624', 'http://www.wikidata.org/entity/Q60840287', 'https://d-nb.info/gnd/117254762/about', 'https://kalliope-verbund.info/gnd/117254762']",2158,gnd
"Allou, Madame",,4350,gnd
"Alopaeus, David Maximowitsch","['http://viaf.org/viaf/1084226', 'https://d-nb.info/gnd/129180440/about']",2177,gnd
"Alpen, Monsieur van",,5885,gnd
"Althoff, Leutnant",,3929,gnd
"Alvensleben, Herr von",,5147,gnd
"Alvimare, Martin-Pierre d'","['http://id.loc.gov/rwo/agents/n80138264', 'http://isni.org/isni/0000000117712109', 'http://viaf.org/viaf/76507450', 'http://www.wikidata.org/entity/Q16010334', 'https://d-nb.info/gnd/1053082355', 'https://d-nb.info/gnd/134864239/about', 'https://en.wikipedia.org/wiki/Martin_Pierre_d%27Alvimare', 'https://kalliope-verbund.info/gnd/134864239']",1888,gnd
"Amalric, François de Sales","['http://isni.org/isni/0000000004977872', 'http://viaf.org/viaf/27404651', 'https://d-nb.info/gnd/10001495X/about', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/10001495X']",1889,gnd
"Amalric, Monsieur",,5954,gnd
"Amar, Monsieur",,3588,gnd
"Amaury-Duval, Eugène-Emmanuel Pineux","['http://catalogue.bnf.fr/ark:/12148/cb121648032', 'http://dbpedia.org/resource/Eug%C3%A8ne_Emmanuel_Amaury_Duval', 'http://id.loc.gov/rwo/agents/nr94000246', 'http://isni.org/isni/000000010779119X', 'http://viaf.org/viaf/29574093', 'http://www.wikidata.org/entity/Q737294', 'https://d-nb.info/gnd/117660302/about', 'https://de.wikipedia.org/wiki/Eug%C3%A8ne_Emmanuel_Amaury-Duval', 'https://en.wikipedia.org/wiki/Eug%C3%A8ne_Emmanuel_Amaury_Duval', 'https://kalliope-verbund.info/gnd/117660302']",3371,gnd
"Amburgh, Isaac van","['http://id.loc.gov/rwo/agents/no2017082069', 'http://isni.org/isni/0000000424742877', 'http://viaf.org/viaf/305918658', 'http://www.wikidata.org/entity/Q1505315', 'https://d-nb.info/gnd/1045597732/about', 'https://de.wikipedia.org/wiki/Isaac_van_Amburgh', 'https://en.wikipedia.org/wiki/Isaac_A._Van_Amburgh']",4271,gnd
"Ameil, Auguste Jean",,3046,gnd
"Ameilhon, Hubert-Pascal","['http://catalogue.bnf.fr/ark:/12148/cb12497886f', 'http://id.loc.gov/rwo/agents/no91003236', 'http://isni.org/isni/0000000081487105', 'http://viaf.org/viaf/69034137', 'http://www.wikidata.org/entity/Q1225229', 'https://d-nb.info/gnd/115501452/about', 'https://en.wikipedia.org/wiki/Hubert-Pascal_Ameilhon', 'https://kalliope-verbund.info/gnd/115501452', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/115501452']",4046,gnd
"Amelot, Madame (Autorin)",['https://d-nb.info/gnd/1197552421/about'],5306,gnd
"Amici, Giovanni Battista","['http://catalogue.bnf.fr/ark:/12148/cb14593531t', 'http://dbpedia.org/resource/Giovanni_Battista_Amici', 'http://id.loc.gov/rwo/agents/nr88002824', 'http://isni.org/isni/0000000115989892', 'http://viaf.org/viaf/15020565', 'http://www.portraitindex.de/dokumente/pnd/118847570', 'http://www.wikidata.org/entity/Q178412', 'https://d-nb.info/gnd/118847570/about', 'https://de.wikipedia.org/wiki/Giovanni_Battista_Amici', 'https://en.wikipedia.org/wiki/Giovanni_Battista_Amici', 'https://kalliope-verbund.info/gnd/118847570', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118847570']",6412,gnd
"Amorós, Don Francisco, marquis de Soleto",,3360,gnd
"Ampère, André-Marie","['http://catalogue.bnf.fr/ark:/12148/cb12050947m', 'http://dbpedia.org/resource/Andr%C3%A9-Marie_Amp%C3%A8re', 'http://id.loc.gov/rwo/agents/n85803043', 'http://isni.org/isni/0000000110589312', 'http://viaf.org/viaf/41858701', 'http://www.portraitindex.de/dokumente/pnd/118645048', 'http://www.wikidata.org/entity/Q675', 'https://d-nb.info/gnd/118645048/about', 'https://de.wikipedia.org/wiki/Andr%C3%A9-Marie_Amp%C3%A8re', 'https://en.wikipedia.org/wiki/Andr%C3%A9-Marie_Amp%C3%A8re', 'https://kalliope-verbund.info/gnd/118645048', 'https://www.archivportal-d.de/person/gnd/118645048', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118645048']",5024,gnd
Anacharsis,"['http://dbpedia.org/resource/Anacharsis', 'http://id.loc.gov/rwo/agents/n82082915', 'http://viaf.org/viaf/282823182', 'http://www.portraitindex.de/dokumente/pnd/118649000', 'http://www.wikidata.org/entity/Q325026', 'https://d-nb.info/gnd/1089723830', 'https://d-nb.info/gnd/118649000/about', 'https://de.wikipedia.org/wiki/Anacharsis', 'https://en.wikipedia.org/wiki/Anacharsis', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118649000']",2976,gnd
"Anaïs, Monsieur",,5495,gnd
