Source,Target
"Benincasa, Bartolomeo",
,
"Paillet, Julien, gen. Paillet de Plombières (Schriftsteller)",
,
"Joliveau de Segrais, Marie-Madeleine, gen. Adine / Admée, geb. Gehier",
"Salm, Constance de (CdS)",
"Raboteau, Pierre Paul",
"Prous, Henry",
"Raboteau, Pierre Paul",
"Edon, Monsieur (Notar)",
"Sedaine, Michel Jean",
"Salm, Constance de (CdS)",
,
,
"Salis, Sophie de, verh. baronne de Triqueti",
"Salm, Constance de (CdS)",
Couchier (Notar),
"Boudin de Vesvres, Monsieur (Notar)",
"Aretz, Johann Anton (Priester)",
"Salm, Constance de (CdS)",
"Ponce, Nicolas",
AthénéeXX,
,
,
,
"Friedrich Wilhelm III., König von Preußen",
"Ritz, Wilhelm",
"Sartorius, Franz Joseph (Bürgermeister von Bedburdyck)",
"Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette",
"Sartorius, Franz Joseph (Bürgermeister von Bedburdyck)",
"Amalric, François de Sales",
,
"Mentelle, Edme",
"Scholz, Prof.  (Professor in Bonn)",
"Wittgenstein, Johann Jakob von (Bürgermeister von Köln)|Wittgenstein, Sophie von |Wittgenstein, Theresia von, geb. Haes (Ehefrau des Bürgermeisters)",
,
,
"Thurot, Jean-François|Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Raboteau, Pierre Paul",
"Théis, Marie Alexandre de (Vater der CdS)",
"Raboteau, Pierre Paul","Salm, Constance de (CdS)"
"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux","Salm, Constance de (CdS)"
"Langlès, Louis-Mathieu","Salm, Constance de (CdS)"
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)","Salm, Constance de (CdS)"
"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von","Salm, Constance de (CdS)"
"Gouvion Saint-Cyr, Anne de","Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)"
"Dalberg, Karl Theodor Reichsfreiherr von","Salm, Constance de (CdS)"
"Alopaeus, David Maximowitsch","Salm, Constance de (CdS)"
"Maison, général, später maréchal Nicolas Joseph","Salm, Constance de (CdS)"
"Amalric, François de Sales","Salm, Constance de (CdS)"
"Amalric, François de Sales","Salm, Constance de (CdS)"
"Berville, Saint-Albin","Salm, Constance de (CdS)"
"Faulcon de La Parisière, Marie-Félix","Salm, Constance de (CdS)"
"Riche de Prony, Gaspard, baron","Salm, Constance de (CdS)"
"Surlet de Chokier, Érasme-Louis, baron","Salm, Constance de (CdS)"
"Surlet de Chokier, Érasme-Louis, baron","Salm, Constance de (CdS)"
"Tissot, Pierre-François","Salm, Constance de (CdS)"
"Mentelle, Edme","Salm, Constance de (CdS)"
"Langlès, Louis-Mathieu","Salm, Constance de (CdS)"
"Martini, Jean Paul Égide, eigentl. Johann Paul Ägidius Martin bzw. Schwarzendorf","Salm, Constance de (CdS)"
"Raboteau, Pierre Paul","Salm, Constance de (CdS)"
Gauthier (= Lacroix Gauthier?),"Salm, Constance de (CdS)"
Gauthier (= Lacroix Gauthier?),"Salm, Constance de (CdS)"
"Raboteau, Pierre Paul","Salm, Constance de (CdS)"
"Mentelle, Edme","Salm, Constance de (CdS)"
"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux","Salm, Constance de (CdS)"
"Lefrançois de Lalande, Joseph Jérôme","Salm, Constance de (CdS)"
"Duchosal, Marie-Émile-Guillaume","Salm, Constance de (CdS)"
,"Salm, Constance de (CdS)"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Sanson de Pongerville, Jean-Baptiste","Salm, Constance de (CdS)"
"Ponce, Nicolas","Salm, Constance de (CdS)"
Gauthier (= Lacroix Gauthier?),"Salm, Constance de (CdS)"
"Alibert, Jean-Louis, baron","Salm, Constance de (CdS)"
"Salm, Constance de (CdS)","Gudin de La Brenellerie, Paul-Philippe"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Béarn, Alexandre de Galard de Brassac de","Salm, Constance de (CdS)"
"Salm, Constance de (CdS)","Ladoucette, Jean Charles François, baron de"
"Luce de Lancival, Jean-Charles-Julien","Ponce, Nicolas"
"Feuillet, Laurent","Salm, Constance de (CdS)"
"Beaufort d'Hautpoul, Anne-Marie, comtesse de, geb. de Montgeroult","Salm, Constance de (CdS)"
,"Salm, Constance de (CdS)"
"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux","Salm, Constance de (CdS)"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Salm, Constance de (CdS)","Lemazurier, Pierre-David"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Salm, Constance de (CdS)",
"Langlès, Louis-Mathieu","Salm, Constance de (CdS)"
"Cabanis, Charlotte, geb. de Grouchy","Salm, Constance de (CdS)"
"Bonaparte, Pauline, verh. Borghese","Salm, Constance de (CdS)"
"Cubières-Palmézeaux, Michel de","Salm, Constance de (CdS)"
"Williams, Helen Maria","Salm, Constance de (CdS)"
"Cailhava, Jean-François","Salm, Constance de (CdS)"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Salm, Constance de (CdS)","Labouïsse-Rochefort, Jean-Pierre-Jacques-Auguste de"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Salm, Constance de (CdS)","Barbier, Antoine-Alexandre"
"Salm, Constance de (CdS)","Barbier, Antoine-Alexandre"
"Millin de Grandmaison, Aubin-Louis","Salm, Constance de (CdS)"
"Guyet, Isidore","Salm, Constance de (CdS)"
"Boufflers, Stanislas, marquis de, gen. chevalier de Boufflers","Salm, Constance de (CdS)"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
"Salm, Constance de (CdS)","Raboteau, Pierre Paul"
Gauthier (= Lacroix Gauthier?),"Salm, Constance de (CdS)"
"Delambre, Jean-Baptiste Joseph","Salm, Constance de (CdS)"
"Nompère de Champagny, Jean-Baptiste, duc de Cadore","Salm, Constance de (CdS)"
"Ladoucette, Jean Charles François, baron de","Salm, Constance de (CdS)"
